objectname,RA,DEC,prob,period,comper,Type,SNR1,SNR2,sector
TIC 72444850,187.349256362393,-47.3361302487908,1.0,0.4150236862606704,0.2075118431303352,EW,6.3684399863097925,28.491739792265683,[37]
TIC 441570283,109.27051431813,77.1738873315958,1.0,0.2984372235185553,0.1492186117592776,EW,6.575835451316698,46.528201374053936,"[40, 47]"
TIC 192562305,155.06659986309,-23.1514271998215,1.0,2.0057733821986767,1.0028866910993384,EA,1.8393377485449105,10.05322976614221,"[35, 36]"
TIC 38399380,54.0973032438234,-7.92543225534797,1.0,0.5682370680874739,0.2841185340437369,EW,2.144303487623107,44.76773797061664,[4]
TIC 355156860,130.390853942151,-63.2513715076648,1.0,1.985578832139096,0.992789416069548,EA,4.193832940429222,8.103053702416403,"[35, 36, 37]"
TIC 458490358,240.06044616749,35.2088011762792,1.0,0.3809000948960039,0.1904500474480019,EW,7.26840499733741,48.106872735097,"[24, 25]"
TIC 229687624,262.988526566939,57.1784319381145,1.0,0.6181798662297673,0.3090899331148836,EW,12.995480141701808,49.55738387063072,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 40, 41, 47, 48, 49, 50]"
TIC 294273900,108.710955,-59.267834,1.0,0.472219556292847,0.2361097781464235,EW,14.737004884630627,58.90210672127122,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]"
TIC 197247867,134.290475452625,18.9455804576765,1.0,0.2910691678909185,0.1455345839454592,EW,8.781502133880013,99.62072509703049,"[44, 45, 46]"
TIC 196920546,20.0726980019716,47.656478955034,1.0,1.5387503841978816,0.7693751920989408,EA,2.335496383887324,10.295033209063805,"[17, 18]"
TIC 441809977,266.558410981811,76.1933490932923,1.0,2.198258344075328,1.099129172037664,EA,2.939833230957161,4.944369004473558,"[40, 41, 47, 48, 49]"
TIC 290034099,290.54892688356,49.4762178330319,1.0,0.5919350430247455,0.2959675215123727,EW,6.752502633926641,31.46941682737317,"[15, 40, 41]"
TIC 289969374,118.627390940766,78.1125949698152,1.0,0.2558047820867958,0.1279023910433979,EW,2.195177920308,54.90573387098704,"[20, 26, 40, 47]"
TIC 252140076,16.1388740312303,55.5591482538177,1.0,1.7001131733390118,1.7001131733390118,EA,14.846245411391314,10.5642781478121,"[17, 18]"
TIC 376023519,317.282208609476,62.8889044861032,1.0,0.3641842184626268,0.1820921092313134,EW,8.967865617238987,92.74467293083426,"[16, 17, 24]"
TIC 377307592,286.986101370099,59.397795847705,1.0,1.190528677000286,0.5952643385001429,EA,24.31694971850191,93.7716931518355,"[14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50]"
TIC 47352608,162.623832760837,-2.69529785031243,1.0,0.4437048193293771,0.2218524096646885,EW,44.42932934316429,78.79168217176738,"[9, 45, 46]"
TIC 441734144,258.558159916703,76.7039749733981,1.0,0.3255938476723349,0.1627969238361674,EW,3.0549127814647004,70.2195865956082,"[14, 16, 17, 18, 19, 21, 22, 24, 25, 26, 40, 41, 47, 48, 49, 50]"
TIC 387463207,42.4678772197941,8.93812249645672,1.0,0.3799980685476583,0.1899990342738291,EW,11.036475502747992,80.28221780613599,"[4, 42, 43, 44]"
TIC 167338355,98.34559,-70.124808,1.0,0.2882786906105078,0.1441393453052539,EW,4.318726217336664,32.37989557593649,"[9, 10, 11, 12, 13]"
TIC 141871560,94.1155828754611,-74.4470312649346,1.0,0.6297085272758748,0.3148542636379374,EW,9.629201778307724,59.039141848066045,"[27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39]"
TIC 198388252,258.19533854361,57.0528889369116,1.0,0.3949843958461211,0.1974921979230605,EW,6.969853138939568,53.149194299936205,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 49, 50]"
